Date,Market Cap
26/08/2015,3228540000
25/08/2015,3053250000
24/08/2015,3314640000
23/08/2015,3346760000
22/08/2015,3379050000
21/08/2015,3417200000
20/08/2015,3293570000
19/08/2015,3274860000
18/08/2015,3742020000
17/08/2015,3749260000
16/08/2015,3797330000
15/08/2015,3849530000
14/08/2015,3828340000
13/08/2015,3857090000
12/08/2015,3920210000
11/08/2015,3828500000
10/08/2015,3843850000
09/08/2015,3779770000
08/08/2015,4048270000
07/08/2015,4032820000
06/08/2015,4077600000
05/08/2015,4119190000
04/08/2015,4065870000
03/08/2015,4087610000
02/08/2015,4052470000
01/08/2015,4112610000
31/07/2015,4155010000
30/07/2015,4174360000
29/07/2015,4250940000
28/07/2015,4237650000
27/07/2015,4222210000
26/07/2015,4163470000
25/07/2015,4155500000
24/07/2015,3978990000
23/07/2015,3997290000
22/07/2015,3971960000
21/07/2015,4017540000
20/07/2015,3938930000
19/07/2015,3956140000
18/07/2015,4020820000
17/07/2015,4001950000
16/07/2015,4115410000
15/07/2015,4143120000
14/07/2015,4199450000
13/07/2015,4468540000
12/07/2015,4213280000
11/07/2015,4093500000
10/07/2015,3866510000
09/07/2015,3889620000
08/07/2015,3818970000
07/07/2015,3875220000
06/07/2015,3890430000
05/07/2015,3741670000
04/07/2015,3678800000
03/07/2015,3662970000
02/07/2015,3706320000
01/07/2015,3774140000
30/06/2015,3682790000
29/06/2015,3562790000
28/06/2015,3593900000
27/06/2015,3487060000
26/06/2015,3472580000
25/06/2015,3439620000
24/06/2015,3494730000
23/06/2015,3531700000
22/06/2015,3488460000
21/06/2015,3503880000
20/06/2015,3494910000
19/06/2015,3558500000
18/06/2015,3563010000
17/06/2015,3581960000
16/06/2015,3380500000
15/06/2015,3331930000
14/06/2015,3317080000
13/06/2015,3280180000
12/06/2015,3276290000
11/06/2015,3263390000
10/06/2015,3264420000
09/06/2015,3257050000
08/06/2015,3175520000
07/06/2015,3213390000
06/06/2015,3203980000
05/06/2015,3191080000
04/06/2015,3213320000
03/06/2015,3212010000
02/06/2015,3170730000
01/06/2015,3274370000
31/05/2015,3314780000
30/05/2015,3370240000
29/05/2015,3373380000
28/05/2015,3370890000
27/05/2015,3367340000
26/05/2015,3367040000
25/05/2015,3420480000
24/05/2015,3391910000
23/05/2015,3409830000
22/05/2015,3338560000
21/05/2015,3319140000
20/05/2015,3288140000
19/05/2015,3303650000
18/05/2015,3357380000
17/05/2015,3343940000
16/05/2015,3366300000
15/05/2015,3355680000
14/05/2015,3344280000
13/05/2015,3416690000
12/05/2015,3426350000
11/05/2015,3399290000
10/05/2015,3418740000
09/05/2015,3446790000
08/05/2015,3353090000
07/05/2015,3245660000
06/05/2015,3337790000
05/05/2015,3373650000
04/05/2015,3394130000
03/05/2015,3315980000
02/05/2015,3279270000
01/05/2015,3329190000
30/04/2015,3183860000
29/04/2015,3181700000
28/04/2015,3228470000
27/04/2015,3093200000
26/04/2015,3190790000
25/04/2015,3257850000
24/04/2015,3323830000
23/04/2015,3296060000
22/04/2015,3316990000
21/04/2015,3161520000
20/04/2015,3132400000
19/04/2015,3143460000
18/04/2015,3134170000
17/04/2015,3213910000
16/04/2015,3147650000
15/04/2015,3078890000
14/04/2015,3157970000
13/04/2015,3314280000
12/04/2015,3321740000
11/04/2015,3313620000
10/04/2015,3420500000
09/04/2015,3434520000
08/04/2015,3550390000
07/04/2015,3580410000
06/04/2015,3655990000
05/04/2015,3557460000
04/04/2015,3563920000
03/04/2015,3545940000
02/04/2015,3461060000
01/04/2015,3420100000
31/03/2015,3464410000
30/03/2015,3399510000
29/03/2015,3536570000
28/03/2015,3454980000
27/03/2015,3476180000
26/03/2015,3443230000
25/03/2015,3458950000
24/03/2015,3724830000
23/03/2015,3742290000
22/03/2015,3629920000
21/03/2015,3653040000
20/03/2015,3642550000
19/03/2015,3570820000
18/03/2015,3977030000
17/03/2015,4053230000
16/03/2015,3983760000
15/03/2015,3923350000
14/03/2015,3964470000
13/03/2015,4098250000
12/03/2015,4125290000
11/03/2015,4060030000
10/03/2015,4035790000
09/03/2015,3825250000
08/03/2015,3846750000
07/03/2015,3788190000
06/03/2015,3833160000
05/03/2015,3792480000
04/03/2015,3920130000
03/03/2015,3822510000
02/03/2015,3617340000
01/03/2015,3532050000
28/02/2015,3520560000
27/02/2015,3282410000
26/02/2015,3294030000
25/02/2015,3314640000
